cpu_usage,ram_usage,runtime_hours,hour,day_of_week,workload_type,future_cpu
78,85,16,15,4,web,67.64046020416112
32,19,22,4,3,analytics,31.15905196202869
61,19,19,0,4,machine_learning,68.78106293519033
41,33,12,17,2,machine_learning,53.35579870966234
42,42,19,10,4,web,51.09613934906766
52,53,13,11,6,machine_learning,55.575121158192545
44,90,8,9,1,machine_learning,34.0941531908132
67,84,24,3,0,web,60.40278937879142
45,19,5,8,2,analytics,44.83278724828681
33,32,5,11,0,machine_learning,33.93861906647025
32,39,17,16,5,analytics,12.347254833812844
68,28,17,3,3,analytics,67.38774350918763
28,85,9,6,3,analytics,43.29854111871977
78,21,20,20,3,analytics,86.52181666037535
32,25,7,12,4,analytics,26.406827375264662
14,44,23,10,2,machine_learning,13.929463630033538
85,18,10,11,0,machine_learning,81.53357274477952
36,75,5,4,5,machine_learning,37.63058182021974
17,74,22,19,0,batch,11.686180453564617
70,63,7,9,1,batch,80.88089092998537
48,76,13,12,1,batch,42.54125919103877
81,70,9,6,0,web,80.6144361157135
86,71,17,23,0,batch,87.79273985448333
45,28,20,17,6,analytics,45.10073920625436
58,23,15,0,4,database,50.82210934910955
84,21,10,15,5,database,96.20663965800665
33,37,21,7,1,web,31.738208333967172
69,59,5,8,3,machine_learning,58.159536355856545
72,26,9,0,4,batch,76.5707800826143
22,55,3,5,1,analytics,29.764190560105686
78,56,2,9,5,batch,77.41111107366476
27,58,11,20,1,database,24.74223048810231
95,68,17,12,0,database,75.38188318947414
30,64,6,16,4,database,22.789649450682656
12,62,23,4,4,analytics,9.495810334268477
60,54,13,3,5,database,47.20701221970014
41,43,8,6,1,database,13.17464629090755
59,21,1,21,3,batch,56.8538955044039
66,26,16,14,6,analytics,71.16300759668118
84,60,7,5,3,machine_learning,94.94905246025878
47,59,2,17,5,machine_learning,40.0513445036184
61,47,1,23,6,machine_learning,61.93128784096606
39,60,17,4,4,web,25.372940485158765
43,15,21,1,4,analytics,42.55561840882705
52,84,19,14,0,batch,70.73580162010396
25,17,4,7,3,batch,16.185161600145914
76,76,18,18,2,database,71.97410011467402
70,31,21,5,0,machine_learning,78.36250234406089
21,55,2,16,5,analytics,11.252082869707316
56,65,11,15,4,machine_learning,46.71739979784555
35,45,1,7,0,database,36.42502740608852
37,87,24,1,4,machine_learning,37.285083678803645
23,68,24,18,6,machine_learning,29.934792506737143
27,47,3,18,6,batch,30.768294651344167
37,83,7,16,6,database,37.6021275674335
26,22,20,3,1,database,18.999930660335394
27,43,15,7,0,batch,10.93945582909781
15,61,2,23,2,analytics,23.539649377878014
79,42,21,21,4,analytics,75.33512077734899
84,71,24,22,0,web,78.9920565579648
40,49,5,3,6,batch,41.39173063335656
13,88,6,21,0,batch,20.26297557793942
71,66,2,14,2,batch,57.644757751029026
14,79,22,3,2,web,18.34688153903948
29,21,15,0,1,web,27.29221890474133
86,12,1,5,1,batch,87.10806369910753
14,32,10,11,1,machine_learning,22.050342473715524
72,82,17,8,2,database,67.38486504381481
58,78,12,17,5,batch,53.93275236084998
49,73,22,7,2,database,39.065275866355734
23,69,3,20,4,database,27.347865223710222
71,13,13,9,0,machine_learning,79.27936741664479
49,81,7,7,5,machine_learning,51.00152393798115
32,72,15,0,0,database,38.445882396208944
75,87,21,7,2,database,56.68750994453602
16,60,8,9,3,batch,27.45985533962005
42,36,4,5,0,analytics,33.26887650165224
77,75,10,4,2,database,70.46398848591285
47,22,15,3,4,machine_learning,44.84100051765303
17,14,15,3,3,analytics,9.16989027374154
11,36,19,18,3,analytics,5.0
29,20,10,7,5,analytics,31.247714567345593
55,21,13,7,5,machine_learning,52.84932658563859
52,85,12,3,3,web,48.48108569907666
46,81,10,16,3,analytics,40.96102683503374
38,87,8,8,5,batch,36.53224677122829
32,10,14,4,4,batch,28.7803911309853
10,72,22,22,2,database,6.566895719459275
56,82,21,8,1,analytics,47.90316499791866
84,47,2,6,1,database,70.76114662507385
43,26,11,11,2,batch,41.03405548731244
79,42,17,10,5,web,76.81821144201864
37,58,7,16,3,machine_learning,55.2132130111907
72,70,8,16,6,web,58.96557911556598
22,60,24,18,5,database,17.410703944958108
39,25,8,18,1,analytics,34.62512847007686
87,56,18,1,5,database,70.37298676064846
72,13,1,7,4,batch,62.07487937849943
41,19,10,18,5,batch,52.3197095319733
41,59,7,7,0,web,42.00036824933157
76,68,8,21,0,database,71.80383786976181
17,43,3,23,5,database,20.914996489823345
25,77,20,4,5,batch,19.74213345506005
16,83,7,0,6,machine_learning,8.501154542213431
28,28,4,17,1,analytics,29.818091273076544
11,76,23,22,3,batch,16.983843472495327
14,46,6,8,1,web,11.06421440895694
95,33,17,9,5,machine_learning,98.77917314271487
90,90,14,8,1,batch,79.2145166231543
13,35,13,1,6,batch,18.94611275218172
84,79,18,20,1,analytics,70.96325611218938
46,34,6,11,6,database,50.41490924247601
95,36,6,7,1,analytics,100.0
54,26,21,13,1,machine_learning,62.11496052014505
63,74,19,20,3,web,61.199952773037
68,48,8,2,5,web,77.6607373634421
64,33,22,21,4,machine_learning,49.96170527539813
92,90,13,10,1,web,91.00884817007552
35,75,21,8,0,database,26.632698649143215
52,51,7,2,2,analytics,37.75554653431614
53,60,6,1,3,machine_learning,47.18290259340105
58,70,17,9,0,batch,56.01985091558796
56,21,16,23,2,database,62.53358814170856
89,79,8,17,0,analytics,93.94929567767946
24,68,9,12,1,web,30.547877877108316
16,18,19,15,1,analytics,17.070781233968
91,48,3,17,2,batch,79.75872062108432
54,12,5,10,1,web,58.00826674813876
48,24,24,16,3,web,42.79532126754515
42,25,13,9,3,machine_learning,50.34836727429243
64,51,2,22,4,machine_learning,69.70719672164357
48,55,20,16,4,batch,48.37613770498996
66,25,24,11,6,analytics,59.55175744263544
14,74,17,2,4,web,12.393665071674127
77,27,5,15,0,machine_learning,75.03944305346931
21,68,5,4,2,web,13.934742039228183
79,48,24,13,2,web,78.22320346077342
72,63,21,18,4,web,72.43455109163389
66,50,17,2,5,machine_learning,70.12218282389412
18,29,17,9,2,database,27.55345570040855
91,71,17,23,2,machine_learning,86.58221564575223
82,77,14,4,1,analytics,87.06345454204408
65,76,9,2,0,batch,69.05387729989471
68,88,6,7,2,batch,66.39429641330173
57,27,6,4,3,analytics,57.34617355795432
67,76,24,7,1,batch,75.24378736348663
86,42,6,23,2,batch,82.97365693170377
68,57,9,12,2,batch,72.37423483332192
62,51,4,5,3,analytics,60.66305535746517
62,39,7,17,3,batch,63.17370949146658
87,86,12,6,1,machine_learning,93.5420215670084
26,69,24,12,2,database,14.084855522805551
39,80,10,8,1,batch,48.671855552851724
31,77,20,3,1,analytics,19.468046015491076
73,26,12,21,0,web,58.52032879215435
91,59,14,14,4,machine_learning,98.72011968850583
45,61,12,6,4,web,57.52419223387472
35,55,2,3,0,machine_learning,34.4739979114161
22,48,15,22,4,batch,13.830137462954294
56,87,20,21,2,machine_learning,61.66685157839483
76,90,12,23,3,batch,79.44672195466998
68,15,19,4,2,analytics,69.94646131302693
10,67,6,14,1,batch,5.0
89,36,8,13,0,web,100.0
62,17,15,13,1,database,67.14178207894035
62,33,3,19,5,web,72.63322024105945
87,80,17,11,3,database,76.13383042621318
69,72,22,21,4,database,66.47121705250778
11,81,11,12,0,analytics,7.381549446007386
54,42,6,8,2,batch,34.60896538696835
50,26,12,13,6,batch,69.21621025468365
42,83,8,17,3,web,41.81917528444144
11,42,9,12,5,database,5.0
55,24,2,9,6,machine_learning,52.75119765691236
58,84,3,5,0,web,72.49584099307897
71,71,15,6,2,machine_learning,73.86340582953414
89,13,6,21,1,web,84.36239270821098
23,84,18,21,3,web,22.80716097477999
22,34,13,18,1,web,19.17258605011203
17,62,23,18,3,analytics,5.0
79,27,19,21,4,machine_learning,69.97738223598955
70,63,15,0,6,batch,74.5142191042139
58,40,24,19,4,web,48.19387469598127
69,33,18,16,2,web,57.28500095832144
45,75,15,1,3,database,31.936381755664133
67,21,3,12,1,batch,62.41785260361179
24,35,8,3,5,analytics,19.597558769236638
46,78,6,12,0,machine_learning,40.627013056495585
23,11,7,5,0,web,25.99424044461845
44,14,1,7,3,machine_learning,43.30524178295847
54,32,15,10,1,web,37.23873981856012
10,14,20,7,2,database,12.033391137969616
10,66,22,19,3,web,7.426919590260939
53,65,15,14,5,database,69.61398386848673
70,29,18,13,1,web,67.4270149116323
38,10,23,2,5,machine_learning,34.39195975896058
68,78,1,16,2,analytics,75.33062139761985
59,32,12,5,3,batch,61.77190780718394
61,89,18,9,3,analytics,63.212553220759425
95,56,2,0,6,analytics,89.79429170123929
52,83,18,17,0,machine_learning,53.470169076984334
85,81,14,3,0,database,86.33415695677215
28,40,16,13,4,database,34.7134789417305
75,73,6,8,0,web,89.52298147861525
57,22,9,20,4,database,52.165291444426884
13,28,6,1,1,machine_learning,10.386368040177398
32,84,1,23,5,analytics,30.61542540572904
85,80,15,20,2,database,85.12463238065175
42,58,17,2,3,web,42.333512297055535
75,55,9,2,4,machine_learning,73.14080714799623
81,57,2,5,3,machine_learning,69.88342026589123
88,53,4,14,2,analytics,74.83681002434487
52,30,23,10,6,machine_learning,53.03445580133072
24,77,21,12,5,batch,27.04037970767221
43,87,4,15,4,batch,35.091271142792664
44,17,16,9,3,web,35.17128546227383
11,58,13,3,1,machine_learning,9.925855173139915
83,48,13,6,6,web,81.72620897522631
51,70,10,23,3,database,44.419028676087194
53,54,10,14,2,database,51.797264619352774
31,30,22,8,1,analytics,34.99709680900766
51,81,24,15,0,machine_learning,40.62899264588926
46,77,18,23,2,machine_learning,49.484446786998504
27,28,4,9,0,database,34.13810928296107
78,56,17,2,3,machine_learning,75.1671388684161
31,57,5,14,2,database,34.62830266996141
80,41,11,9,0,web,91.67594882706817
11,73,3,6,4,database,5.0
76,51,22,6,0,machine_learning,80.5518646334822
45,45,3,8,0,analytics,58.0271729850283
79,50,7,3,4,batch,72.92767642233082
53,36,21,7,5,analytics,53.26767016793842
76,53,3,21,5,machine_learning,74.85190124515671
44,39,20,7,5,database,39.7707039733027
67,45,5,12,4,web,59.07446089089837
71,39,23,15,3,machine_learning,76.0353086790943
25,21,8,19,2,database,16.261497882619366
93,74,21,19,5,analytics,90.46873240244159
81,41,1,20,3,machine_learning,86.66486941350873
32,75,9,20,1,web,39.653618534356674
82,74,11,2,3,batch,83.54664533562186
64,15,3,21,2,machine_learning,63.229813534383226
21,58,10,5,1,web,32.80916888576053
39,87,6,2,6,machine_learning,47.66867920593839
23,82,15,20,2,web,27.292078748563227
87,29,18,9,0,machine_learning,79.8122561456717
34,63,1,3,6,machine_learning,53.71902108686147
61,12,3,8,5,analytics,58.59887772486007
22,17,21,1,3,database,26.062061362492003
22,40,14,19,1,web,22.431907347566344
69,72,6,10,5,analytics,55.7485370786308
14,43,10,1,5,batch,24.051490738761515
59,40,24,14,0,batch,49.153795633871354
82,37,14,18,6,analytics,79.91727607422591
13,13,7,7,0,web,7.137970962480033
61,45,6,6,1,analytics,55.38662471980739
72,71,3,6,2,analytics,81.66247446768801
95,14,23,1,5,analytics,92.46679976591018
30,88,21,9,6,batch,30.870765041672964
22,62,18,4,4,database,13.050948574409539
90,69,11,20,3,web,84.5046739536601
43,61,16,17,2,web,39.3342678455954
61,38,6,9,4,database,63.33159938569445
10,11,16,0,1,database,5.0
67,69,8,20,3,machine_learning,78.28454404004127
95,81,17,14,0,batch,100.0
54,78,12,0,6,web,52.16813710807803
52,10,13,18,2,database,52.72034270122629
14,29,21,7,1,database,15.88609705921124
24,16,19,18,2,web,23.854000278395844
14,14,22,7,1,machine_learning,18.85704880626895
88,59,3,16,3,machine_learning,98.48927109054485
87,50,23,17,1,web,81.85185415695885
22,62,16,1,2,machine_learning,29.422721024649896
24,26,8,17,6,machine_learning,22.091732425258666
31,39,20,20,3,web,24.767889255730463
55,30,3,22,6,batch,61.70050162686698
17,55,8,13,6,analytics,10.490837151522603
84,31,11,21,3,web,87.19750361402113
59,88,19,22,3,batch,53.78914484966537
31,52,5,0,2,analytics,35.524077165052354
39,48,12,14,0,analytics,24.913897926753457
17,67,16,7,0,analytics,21.313056825462443
73,19,21,13,6,web,75.73303375495291
36,75,9,15,4,batch,49.111526618753516
67,63,12,16,5,machine_learning,88.00069071697328
43,62,20,10,2,database,42.15150472769569
67,13,15,3,3,batch,76.77597696778801
33,35,5,5,4,machine_learning,29.670447978158876
80,13,14,2,4,database,70.55374349879729
64,13,24,23,1,machine_learning,76.84895593465035
69,28,17,13,2,web,81.49967605489691
85,39,6,20,6,analytics,85.65250427987492
64,64,1,17,6,analytics,74.45245969411478
56,84,22,12,0,web,70.89444626935705
24,79,15,13,3,batch,15.38647864619896
18,25,5,19,4,batch,23.743922479329367
79,90,13,18,4,analytics,92.40437914835589
51,44,14,18,4,batch,48.049358163259676
30,83,5,3,5,database,33.21417026046859
13,48,18,2,0,machine_learning,10.806173143563752
33,45,21,23,3,web,25.0054979387989
39,16,3,22,3,machine_learning,30.445995248382737
86,79,12,8,4,database,70.50785012393507
65,66,21,3,1,web,50.89734012925844
41,84,20,23,6,machine_learning,32.786874122114156
51,35,12,23,5,analytics,57.35411743697462
46,58,19,18,0,machine_learning,35.96568461464601
21,70,9,0,1,analytics,16.14123520987636
80,42,17,23,4,database,93.0345866929442
37,67,11,8,6,analytics,40.03585645732406
74,83,21,4,1,machine_learning,88.49203850074814
75,83,2,15,2,database,79.95323408804158
68,19,3,18,6,web,84.45996375769359
73,41,7,20,3,database,85.66229803297674
95,24,24,7,4,web,97.19744859194282
23,36,9,7,1,web,25.937858395377706
34,12,8,11,0,machine_learning,46.70435324855666
15,48,20,22,0,machine_learning,8.49316281768866
60,20,24,11,1,analytics,58.35775780644017
50,45,5,20,6,web,40.8658872598736
51,69,20,5,3,machine_learning,55.284619575107435
16,89,3,12,2,machine_learning,36.349343162412225
41,57,11,4,3,analytics,42.462455273642696
41,18,12,10,5,batch,32.538274815439564
43,13,6,22,2,analytics,42.67187663197229
34,12,1,3,0,analytics,29.98317596720896
70,18,20,5,1,analytics,74.4695277282662
69,53,11,1,6,batch,58.376507889852384
95,12,12,15,4,machine_learning,100.0
71,42,21,2,3,web,72.99358834188524
67,84,23,15,5,machine_learning,70.37178759900722
78,20,15,2,0,database,80.9794771758577
49,37,15,6,5,machine_learning,42.679469398917774
29,10,8,22,6,database,27.205958729939443
34,56,6,14,6,machine_learning,29.24658601016034
66,62,14,19,5,analytics,64.41008771186702
86,88,18,18,0,database,88.4012446799658
32,68,2,23,5,batch,40.85664535429578
28,39,14,19,0,batch,27.036950688371213
49,23,6,22,5,database,45.518222137594975
12,51,19,8,3,batch,18.004694830686212
54,80,14,8,2,web,58.554875569379504
56,23,24,5,4,batch,73.87583121079447
45,49,17,8,0,analytics,29.91839958383106
62,68,14,8,3,batch,59.62986045192895
77,17,2,8,4,batch,84.21975378001427
71,57,12,2,2,analytics,72.71560667177313
94,30,5,15,3,machine_learning,93.49421234813633
82,70,9,3,2,analytics,69.8277787728615
74,17,13,22,6,database,65.03661872070707
35,61,22,7,4,batch,34.12049827703853
47,29,19,3,6,batch,39.276016113367554
54,76,22,11,1,web,54.241292580281
64,10,8,22,5,machine_learning,63.15575958398154
70,21,6,7,2,database,68.52514679426324
74,66,13,16,2,web,77.61626675668614
93,65,17,12,4,analytics,83.07951766023533
55,71,8,10,3,database,52.52632738360109
58,73,10,10,5,analytics,51.98274875527534
18,46,17,8,0,database,15.447568514667054
48,22,11,13,2,database,41.63179314557209
86,55,13,0,3,batch,90.63342415433371
21,70,16,0,4,analytics,23.786177811221798
78,17,14,22,5,machine_learning,90.8977650260434
77,42,4,17,4,machine_learning,84.17471452692425
37,49,20,16,0,batch,23.604445889378432
48,11,9,9,1,database,40.83048430146672
84,86,10,13,1,batch,81.58995811738559
11,47,3,15,5,batch,8.461235258171133
90,50,12,2,2,machine_learning,100.0
94,71,17,22,0,machine_learning,90.11479059127463
30,63,11,17,3,web,20.450905345948158
39,69,12,1,2,analytics,46.353233388880014
37,53,15,8,6,batch,36.37383468957268
65,37,5,6,3,machine_learning,62.23512388242641
65,74,1,14,3,analytics,66.82122626105043
44,52,15,10,0,machine_learning,27.072640036232062
47,73,5,7,1,database,49.17498530216014
40,13,17,12,1,database,49.2648867841944
39,68,3,10,4,analytics,35.50891287578745
73,60,18,5,2,batch,72.12312156859335
24,39,10,4,1,analytics,29.575635236085887
27,82,17,12,2,web,24.32944408195192
26,31,4,4,4,web,47.06339549543881
95,62,23,18,2,analytics,80.55515621674587
41,60,17,20,5,machine_learning,32.08251710992016
77,10,24,2,4,batch,82.97007765973274
20,60,17,2,3,machine_learning,11.611807094358456
28,46,7,20,3,machine_learning,18.3917586713846
26,45,22,18,6,analytics,28.127090384474663
30,20,7,4,0,web,44.15293360210629
50,55,12,5,0,web,50.15024243453159
61,79,23,3,5,web,66.22969504204956
42,71,24,22,6,batch,47.93666375895468
90,60,21,13,2,batch,91.49935904418749
60,56,15,3,6,machine_learning,69.32644815366709
72,47,3,4,4,batch,70.36436016251821
40,89,18,21,4,analytics,57.917944319422915
89,85,2,8,2,analytics,92.6805648507795
56,44,19,17,1,database,51.715093292596706
74,45,5,0,6,batch,80.85293683700542
22,17,5,8,6,analytics,24.793380322494855
43,55,14,3,5,database,48.368296101438446
81,12,14,12,4,batch,75.27266519393174
25,69,2,1,1,machine_learning,27.68928037020833
65,40,2,6,2,analytics,71.63579873545399
62,48,1,16,0,analytics,60.44939088981757
22,30,19,20,2,analytics,15.162616440228666
64,32,10,9,3,database,66.68029700209973
29,41,18,13,1,web,35.74698097725647
86,68,23,7,1,web,90.4755926079603
40,87,2,17,1,web,32.28564288194905
88,66,17,17,5,database,95.48705245017372
59,17,9,5,4,database,60.479206535431814
53,77,4,17,6,machine_learning,44.57627937279754
22,58,6,15,3,batch,16.006344338285928
38,42,24,22,1,machine_learning,40.733831317923475
30,22,5,0,3,analytics,33.05803951315935
82,30,20,18,2,database,75.56818341087411
46,51,17,4,5,web,46.00422367085278
56,27,14,2,3,database,60.80965399143292
80,22,18,4,4,database,92.97280079813058
82,47,11,21,5,database,77.02698260771278
54,43,9,23,6,database,56.97734945177676
53,30,8,21,5,web,48.30001748022605
30,22,17,21,5,database,16.049215066936817
83,55,13,4,5,analytics,83.9521472484318
95,90,4,13,1,machine_learning,100.0
33,38,11,3,1,web,30.79591767625279
74,37,16,14,0,web,77.50780591047781
62,51,15,8,1,batch,62.15693326155192
15,16,21,0,6,analytics,5.0
25,89,11,20,3,web,27.04458922969895
16,60,9,10,0,analytics,5.0
95,68,4,7,2,analytics,100.0
38,37,13,14,3,analytics,32.439650718802085
18,14,24,19,1,machine_learning,17.6706441846996
24,41,22,8,0,batch,18.70295323625921
66,35,10,12,2,machine_learning,61.21753290811712
86,62,8,7,3,batch,98.64432549254698
74,58,15,19,5,batch,65.87924646537705
66,56,9,13,1,web,69.59687224057464
61,84,24,21,0,web,62.58788255470826
47,36,2,14,4,machine_learning,52.23723330326406
87,83,14,12,6,machine_learning,88.4772222072368
15,17,12,12,2,batch,8.290483810368855
86,59,11,11,5,batch,89.2225737686638
25,77,3,15,2,database,25.383691567852374
27,28,23,22,5,batch,29.654750906068124
35,15,4,11,2,machine_learning,28.420547381961097
52,89,2,1,6,database,62.53567069349363
17,74,11,6,0,analytics,18.85724759793628
95,53,9,4,1,analytics,85.37493918386646
37,51,11,20,1,web,44.05866449858728
31,36,3,11,4,batch,27.383277337335358
19,18,22,23,6,analytics,8.247084237094505
44,87,17,17,4,analytics,31.173916265472403
93,62,18,3,0,web,87.3193510476765
29,19,11,8,0,analytics,24.21832389013526
74,26,22,1,4,analytics,71.0836068277198
65,60,21,2,3,batch,53.307550581993475
28,69,7,14,6,machine_learning,39.28840720847379
93,24,18,19,4,machine_learning,89.75671993908978
17,50,16,18,6,analytics,17.737436077091896
77,24,3,4,0,batch,74.46753318189991
33,36,8,3,1,batch,27.77633606993751
76,43,17,22,4,web,85.70705119923994
32,78,21,8,0,web,26.801428174873436
66,19,8,6,6,analytics,67.07167925732516
70,12,19,21,6,analytics,65.2496374219494
45,50,5,12,6,batch,37.27394067514992
59,39,5,15,2,machine_learning,54.067159567636025
56,48,16,23,5,batch,52.99058717774649
63,30,8,16,2,analytics,74.978951767473
43,18,17,10,1,batch,38.963580503326256
26,77,16,19,6,database,33.76314711877481
74,72,19,3,0,database,80.42692039056931
75,24,7,5,0,database,71.65776162054576
50,82,13,5,5,machine_learning,57.537905211978895
61,12,17,16,3,web,55.32497033953711
90,76,15,3,3,database,100.0
92,52,20,2,5,machine_learning,79.85701002655352
38,15,1,16,2,batch,35.143766393547125
74,78,16,5,4,analytics,75.49731216388929
53,32,2,23,5,web,54.839411743147444
66,81,7,13,6,batch,75.6955518830912
60,89,8,0,0,batch,62.09000424987085
62,84,5,11,0,web,61.10202026438673
87,78,22,23,2,web,92.62363033525494
71,59,16,8,2,database,66.91732013433801
42,22,20,21,6,web,43.69399774464902
63,29,24,17,6,batch,65.75030305239909
71,38,10,16,1,machine_learning,70.61078118743639
78,37,9,4,1,machine_learning,72.85794157641153
58,85,7,2,1,batch,71.61216856336588
44,89,2,23,1,machine_learning,37.46078551129023
38,29,9,21,3,batch,41.48539928724729
28,75,21,1,5,web,37.51929117792934
68,68,2,3,0,database,76.10940592435091
35,19,21,14,2,batch,39.41181020191618
31,39,13,0,0,batch,33.72471373120398
77,16,17,8,3,analytics,83.06324316888809
83,36,22,17,2,database,94.67285725841583
94,34,15,14,3,web,100.0
28,26,11,8,1,machine_learning,24.060431405355857
93,49,7,16,4,machine_learning,95.87346439353664
78,52,16,1,2,database,82.54353394460105
59,76,1,10,1,analytics,47.174823297586705
47,28,4,12,5,machine_learning,37.94869110989113
83,74,23,23,2,batch,76.89371116657135
90,82,6,10,0,machine_learning,90.30350268358082
69,37,1,21,4,database,77.85571813042114
11,70,11,5,1,analytics,16.129493299288562
46,88,18,1,6,web,42.16759154110597
86,13,22,6,4,database,71.81196532840309
63,77,15,0,6,batch,68.89833053237642
38,14,17,9,3,analytics,36.731066583589424
80,76,13,14,3,analytics,90.87529135969119
77,21,24,9,6,database,75.08701044397633
30,70,20,23,0,database,26.05800357776038
45,58,10,6,0,analytics,49.555314135208285
94,70,9,5,2,database,90.20241784290353
14,51,23,16,3,database,22.26494812319872
39,66,22,8,4,batch,20.426956746400677
32,54,17,22,4,web,23.474402261156463
15,27,22,21,0,machine_learning,7.093849134585529
87,19,15,18,3,machine_learning,72.73836205241581
82,37,11,13,6,machine_learning,80.83130542774656
24,37,24,7,2,batch,19.256587735615824
18,56,1,0,2,analytics,11.224701373464168
74,38,18,1,2,machine_learning,87.75876968882068
10,43,16,14,4,analytics,9.662388845503655
38,48,24,16,6,analytics,53.451513209016454
78,35,17,2,6,analytics,82.29852526035363
34,12,15,20,2,batch,44.674802607594394
25,34,22,8,0,machine_learning,33.51291346667771
60,80,14,18,2,database,59.204957358988615
50,54,15,2,2,machine_learning,48.523322694037475
60,57,2,7,5,machine_learning,54.414435735267126
66,45,15,19,0,web,65.70723309949959
54,88,20,9,4,analytics,56.847816991677966
92,12,22,13,2,batch,84.91920233466288
84,39,11,1,5,web,95.65662900429254
18,40,2,23,6,database,18.831510673191193
67,54,7,19,0,database,62.36757961642197
92,73,12,6,3,batch,93.20696170622027
67,26,16,22,6,analytics,66.05700748334723
30,73,4,9,4,batch,42.71331535398341
51,70,13,10,5,web,53.05006233634347
66,49,13,1,5,batch,69.19186663032467
88,89,17,1,1,batch,93.24483130298741
32,27,17,5,0,web,32.78648153790482
10,54,21,13,4,analytics,9.577375963401847
16,31,10,6,4,batch,20.418399501436184
93,85,1,7,0,web,98.005047469168
72,31,6,20,2,analytics,75.56431077223205
57,15,24,13,2,machine_learning,65.88959485322624
80,86,6,17,1,analytics,85.9510129961171
47,57,20,11,2,analytics,51.71958787643954
40,70,10,2,4,analytics,59.595678391664805
22,44,20,10,2,analytics,12.58957394461385
63,84,16,20,2,analytics,64.91671104579335
41,64,15,10,1,web,44.87327295146362
12,89,5,20,4,batch,25.071585468189184
38,28,11,1,1,analytics,52.038204358772674
52,34,20,15,2,analytics,49.48475190757123
64,37,5,4,2,machine_learning,71.66630743764001
21,59,4,21,0,analytics,26.614794283936742
41,20,18,22,5,batch,40.504378031215225
84,30,12,4,6,machine_learning,92.90357224165763
63,83,22,18,0,database,71.62121047623314
74,24,8,11,5,web,89.89648889359553
55,23,18,19,1,analytics,50.752232817504286
68,52,15,11,5,database,72.71687637353622
65,22,13,1,4,web,67.13529661191515
75,45,22,10,3,database,71.27355544705469
49,39,17,19,3,analytics,47.793298307466436
16,89,13,14,2,batch,8.835551251629322
44,60,20,4,1,database,51.96806927510936
66,17,15,20,5,database,63.16750762506329
21,58,17,9,5,analytics,14.089083473015659
28,20,2,17,6,analytics,22.723181851846135
59,19,20,14,4,web,53.36105236947608
12,46,8,7,3,web,18.99613659306018
65,69,10,6,3,analytics,59.801878185213866
45,22,4,4,1,database,41.964764008113264
40,20,14,4,5,machine_learning,42.65652199331525
49,33,3,11,3,machine_learning,42.226830009069104
66,64,10,20,1,machine_learning,65.80274175414804
31,22,16,17,2,database,32.39168919748566
49,29,21,17,4,database,40.68741146886575
72,85,12,5,2,database,65.58832823416218
